timestamp;mid_price;spot_price;tte;m_t;v_t
0;754.5;10503.0;5.0;-0.033269849744936686;0.014900383528797644
100;761.5;10510.0;4.999996666666667;-0.03356781889207576;0.015015109347014005
200;764.5;10513.0;4.999993333333333;-0.03369546568903286;0.015064221774541694
300;768.5;10517.5;4.99999;-0.033886862120744876;0.014364158939770277
400;760.5;10509.5;4.999986666666667;-0.033546576302500734;0.01423849655324375
500;757.0;10506.0;4.999983333333334;-0.03339762598417162;0.014183449090310203
600;754.5;10503.5;4.99998;-0.03329120562337456;0.014144103524022284
700;753.5;10503.0;4.999976666666667;-0.03326992737485779;0.013029295953410836
800;747.5;10497.5;4.999973333333333;-0.03303568867172924;0.010000000000000002
900;746.5;10495.5;4.99997;-0.03295048748181291;0.014018043054106786
1000;750.5;10499.0;4.9999666666666664;-0.033099609214983;0.014834791705834505
1100;751.5;10501.0;4.9999633333333335;-0.03318480410286404;0.012999787044200274
1200;755.5;10504.5;4.99996;-0.03333384792832944;0.01415987469427364
1300;760.5;10510.0;4.999956666666667;-0.03356795316424648;0.013132562267346657
1400;760.5;10510.0;4.999953333333333;-0.03356796435366677;0.013132566644640065
1500;755.5;10504.5;4.99995;-0.03333388126249405;0.01415988885418528
1600;755.5;10504.5;4.999946666666666;-0.033333892373904474;0.014159893574305894
1700;749.5;10499.0;4.999943333333333;-0.033099686448189704;0.012970273723931312
1800;748.5;10497.5;4.99994;-0.03303579879182939;0.014049625863526672
1900;744.0;10493.5;4.999936666666667;-0.03286536859260262;0.012888982034273794
2000;743.5;10493.0;4.999933333333333;-0.03284406982128178;0.012881590490164855
2100;739.5;10488.5;4.99993;-0.032652247459351524;0.013907590174542293
2200;736.5;10485.5;4.999926666666667;-0.032524323697415;0.013860178224208538
2300;742.5;10491.5;4.999923333333333;-0.03278016732905132;0.013954982642476351
2400;737.0;10486.0;4.99992;-0.032545670377577565;0.013868092558873285
2500;731.5;10480.5;4.999916666666667;-0.032311050235998735;0.013781089806448103
2600;726.0;10475.0;4.999913333333334;-0.03207630677502528;0.013693973654526416
2700;715.5;10464.5;4.99991;-0.0316278076740008;0.013527339311435753
2800;724.0;10472.5;4.999906666666667;-0.03196958086956928;0.014398390155315608
2900;723.5;10473.0;4.999903333333333;-0.03199094302990329;0.012585118712231629
3000;729.5;10478.5;4.9999;-0.03222575305694577;0.013749445614525936
3100;724.5;10473.5;4.999896666666666;-0.032012314856133886;0.013670216466985036
3200;730.0;10479.0;4.9998933333333335;-0.03224711384057334;0.013757372983377536
3300;730.5;10479.5;4.99989;-0.03226846287813071;0.013765294836155132
3400;730.5;10480.0;4.999886666666667;-0.032289810911851936;0.012689069288562674
3500;740.5;10489.0;4.999883333333333;-0.0326737188154264;0.014670532662316872
3600;735.5;10484.0;4.99988;-0.03246049413231427;0.014588196369156776
3700;733.5;10483.0;4.999876666666666;-0.032417845620309756;0.012733573385507953
3800;734.5;10483.5;4.999873333333333;-0.03243918660850615;0.013828622303426522
3900;733.0;10482.0;4.99987;-0.032375203802308024;0.013804894724180485
4000;726.5;10475.5;4.999866666666667;-0.03209780295427167;0.013701962368963906
4100;723.5;10472.5;4.999863333333334;-0.03196971940790627;0.01365440392021355
4200;717.0;10466.5;4.99986;-0.031713431367305034;0.012488520076376517
4300;715.5;10464.5;4.999856666666667;-0.031627976360027565;0.0135274114591175
4400;709.5;10458.5;4.999853333333333;-0.03137149204066858;0.013432004480728208
4500;708.5;10458.0;4.99985;-0.03135012127738871;0.012361924637548325
4600;702.5;10451.5;4.9998466666666666;-0.031072082703361707;0.013320524831203781
4700;708.5;10457.5;4.999843333333334;-0.03132875992083959;0.01341610254429497
4800;714.5;10464.0;4.99984;-0.031606660092420386;0.012451332795762935
4900;715.5;10464.5;4.999836666666667;-0.03162803961798345;0.01352743851477953
5000;713.5;10462.5;4.999833333333333;-0.03154256804688144;0.013495654457910854
5100;703.5;10453.0;4.99983;-0.031136315103583598;0.012287359148804168
5200;706.5;10455.0;4.999826666666666;-0.031221885335165615;0.014108687738957997
5300;702.5;10451.0;4.9998233333333335;-0.031050759608916813;0.01404226991199494
5400;701.5;10450.0;4.99982;-0.031007975677362715;0.014025658479238246
5500;691.5;10441.0;4.999816666666667;-0.030622652961146676;0.012108008290701943
5600;696.5;10445.5;4.999813333333333;-0.030815371260703984;0.013224855966818726
5700;694.5;10444.0;4.99981;-0.03075115470693185;0.012152904850740925
5800;690.5;10439.5;4.999806666666666;-0.03055842905428436;0.013129010694087808
5900;682.5;10431.5;4.999803333333333;-0.03021559229502581;0.013000988765884356
6000;696.5;10445.0;4.9998;-0.03079400441093914;0.013942542676245468
6100;691.5;10440.5;4.999796666666667;-0.03060129703630323;0.013145009341333207
6200;697.5;10447.0;4.999793333333334;-0.030879650604446068;0.012197782496082252
6300;691.5;10440.5;4.99979;-0.030601317438017996;0.01314501810492402
6400;693.5;10442.5;4.999786666666667;-0.03068699026164204;0.013176981755077578
6500;694.5;10443.5;4.999783333333333;-0.030729825664477354;0.013192959897519358
6600;690.5;10440.0;4.99978;-0.030579929806687108;0.012093082867741033
6700;677.0;10426.0;4.9997766666666665;-0.02997981241394676;0.012912857512283151
6800;683.5;10432.5;4.999773333333334;-0.030258553318957618;0.013017044983564574
6900;683.5;10433.0;4.99977;-0.03027999705837342;0.011988208420934825
7000;682.5;10431.5;4.999766666666667;-0.03021570309049822;0.013001036438449774
7100;686.5;10435.0;4.999763333333333;-0.03036574164339927;0.013775987691913086
7200;689.5;10438.5;4.99976;-0.030515729983749684;0.013113082449549437
7300;688.0;10437.0;4.999756666666666;-0.03045146991416634;0.013089095141215238
7400;689.5;10438.5;4.9997533333333335;-0.03051575032856657;0.013113091191980857
7500;692.5;10441.5;4.99975;-0.030644273368615724;0.01316105234497172
7600;692.5;10441.5;4.999746666666667;-0.030644283583889386;0.013161056732394623
7700;687.5;10436.0;4.999743333333333;-0.030408658501246206;0.013792695072618245
7800;691.5;10440.5;4.99974;-0.030601470452179386;0.013145083833205718
7900;698.5;10447.5;4.999736666666666;-0.03090122957366878;0.013256877617122879
8000;693.5;10442.5;4.999733333333333;-0.03068715393388283;0.013177052035780434
8100;698.5;10447.5;4.99973;-0.030901250175594128;0.013256886455671971
8200;701.5;10451.0;4.999726666666667;-0.031051059781218294;0.012257625772635942
8300;691.5;10440.5;4.999723333333334;-0.030601521457409922;0.013145105742858048
8400;695.5;10444.5;4.99972;-0.030772841641144022;0.013209013388789118
8500;697.5;10447.0;4.999716666666667;-0.030879887360942673;0.012197876017453379
8600;692.5;10441.0;4.999713333333333;-0.03062296941173546;0.013876071784898155
8700;687.5;10436.5;4.99971;-0.030430186462292962;0.01308115698805068
8800;683.5;10432.5;4.9997066666666665;-0.03025875505380908;0.013017131768820035
8900;682.5;10431.0;4.999703333333334;-0.030194457589547117;0.013709307885987983
9000;682.5;10432.0;4.9997;-0.030237340397417305;0.011973294439803795
9100;675.0;10423.5;4.999696666666667;-0.029872800973743015;0.013583951331493153
9200;675.5;10424.5;4.999693333333333;-0.02991571454966391;0.012888898664459704
9300;673.5;10422.5;4.99969;-0.029829913141912308;0.012856800275335447
9400;676.5;10425.5;4.999686666666666;-0.029958634025574818;0.012904952578692246
9500;676.5;10425.5;4.9996833333333335;-0.029958644012416998;0.012904956880802272
9600;682.5;10431.5;4.99968;-0.030215964975550822;0.01300114912077788
9700;676.5;10426.0;4.999676666666667;-0.02998011222995993;0.011883260791437351
9800;679.5;10428.0;4.999673333333333;-0.030065904943184913;0.013659231822730357
9900;677.5;10427.0;4.99967;-0.03002302564865917;0.01189828781505639
10000;670.5;10419.5;4.999666666666666;-0.029701234499015794;0.012808645920417803
10100;676.5;10425.0;4.999663333333333;-0.029937254632582115;0.013609089330229834
10200;672.0;10421.0;4.99966;-0.029765633102403787;0.01283275119350037
10300;673.5;10422.5;4.999656666666667;-0.029830012581618576;0.012856843134138672
10400;676.5;10425.0;4.999653333333334;-0.02993728457189757;0.013609102940222328
10500;677.5;10427.0;4.99965;-0.03002308569885393;0.011898311613522308
10600;682.5;10431.5;4.999646666666667;-0.03021606570238422;0.013001192460844777
10700;679.0;10428.0;4.999643333333333;-0.030065995147198984;0.01294510444305615
10800;684.5;10434.0;4.99964;-0.030323255505488117;0.01200335876060308
10900;689.5;10439.0;4.9996366666666665;-0.030537527988188557;0.012078282697139002
11000;698.5;10447.5;4.999633333333334;-0.030901548908142347;0.013257014614296167
11100;689.5;10439.0;4.99963;-0.030537548348040393;0.01207829074986421
11200;698.5;10447.5;4.999626666666667;-0.03090156951070641;0.013257023453070357
11300;693.5;10443.0;4.999623333333333;-0.030708904958087976;0.012138172080462934
11400;700.0;10449.0;4.99962;-0.03096579664426471;0.013280962521812394
11500;697.5;10447.0;4.999616666666666;-0.030880196181948465;0.012197998004962756
11600;694.5;10444.0;4.9996133333333335;-0.030751759520466056;0.012153143874011221
11700;690.5;10439.5;4.99961;-0.030559030077692246;0.013129268915456578
11800;686.5;10435.5;4.999606666666667;-0.030387646274928567;0.013065290559557071
11900;679.5;10428.5;4.999603333333333;-0.030087558679709872;0.012953172446245841
12000;681.5;10430.5;4.9996;-0.03017333149535057;0.012985231667080366
12100;681.5;10430.5;4.999596666666666;-0.030173341553937454;0.01298523599575219
12200;679.0;10428.5;4.999593333333333;-0.03008758876970083;0.0119209012373949
12300;685.5;10434.0;4.99959;-0.030323407133820098;0.01375954212652232
12400;687.5;10436.0;4.999586666666667;-0.030409134939216195;0.013792911174186882
12500;683.5;10432.5;4.999583333333334;-0.030259128273921573;0.013017292325628205
12600;674.5;10423.5;4.99958;-0.02987314951699885;0.012872995241691568
12700;677.5;10426.5;4.999576666666667;-0.030001859484716797;0.012921136030736306
12800;682.5;10431.0;4.999573333333333;-0.030194850148442524;0.013709486121019833
12900;677.5;10426.5;4.99957;-0.03000187948767004;0.012921144645761155
13000;677.5;10426.5;4.9995666666666665;-0.03000188948916167;0.012921148953273585
13100;674.0;10423.0;4.999563333333334;-0.029851745678574248;0.01286499042292917
13200;666.5;10415.5;4.99956;-0.02952982749688158;0.012744479439720634
13300;664.5;10414.0;4.999556666666667;-0.029465423875886215;0.011702894692543849
13400;665.5;10414.5;4.999553333333333;-0.02948690589159717;0.0127284019993931
13500;662.5;10411.0;4.99955;-0.029336588666647425;0.013374659790308668
13600;657.5;10405.5;4.999546666666666;-0.029100268002245064;0.01383854815297809
13700;656.5;10406.0;4.9995433333333335;-0.02912176745742871;0.011582283902498602
13800;632.5;10381.5;4.99954;-0.02806756264167929;0.01219526606695126
13900;643.5;10392.5;4.999536666666667;-0.028541200375792445;0.012373492650804112
14000;630.5;10379.5;4.999533333333333;-0.027981413161242908;0.012162814973460173
14100;644.5;10393.5;4.99953;-0.028584251697581557;0.01238967768440034
14200;657.5;10406.5;4.999526666666666;-0.029143304755749586;0.012599601140314005
14300;647.5;10396.5;4.999523333333333;-0.02871334288176761;0.012438191230164647
14400;655.5;10404.0;4.99952;-0.02903587000098309;0.01325708355565439
14500;656.5;10405.5;4.999516666666667;-0.029100355311357986;0.012583490921833801
